Coordinates,Zip_codes
"50.144124299999994, 8.6790105",60435
"50.12187212, 8.698961867000001",60316
"50.1310407, 8.627772199999999",60488
"50.14311788, 8.683682933",60435
"50.10846828, 8.652251",60327
"50.10924352, 8.659585967",60327
"50.10438257, 8.637758717",60326
"50.1364098, 8.66756675",60320
"50.1161883, 8.680081167",60313
"50.113788799999995, 8.6792166",60313
"50.12030442, 8.711025783",60385
"50.08461408, 8.632902417",60528
"50.07816188, 8.62494895",60528
"50.1117499, 8.7318028",60314
"50.13042612, 8.644981800000002",60487
"50.111241899999996, 8.6763463",60311
"50.10667682, 8.69645815",60594
"50.10490197, 8.6689885",60329
"50.11001585, 8.687228617",60311
"50.11782185, 8.6360771",60486
"50.1204174, 8.6567668",60325
"50.11596395, 8.67397565",60313
"50.12353055, 8.702102033",60385
"50.127232299999996, 8.6904691",60318
"50.11271370000001, 8.754287800000002",63067
"50.1082532, 8.6819038",60311
"50.101758399999994, 8.5544161",65929
"50.13198712, 8.749428183",60386
"50.102990999999996, 8.69078015",60594
"50.116125200000006, 8.675427",60313
"50.109352200000004, 8.695191933",60314
"50.10936097, 8.668671733",60329
"50.13210287, 8.672916617",60322
"50.12860965, 8.646580300000002",60487
"50.109490799999996, 8.666946000000001",60329
"50.10943453, 8.661062633",60329
"50.1148484, 8.6890379",60313
"50.1099625, 8.6532993",60327
"50.1206445, 8.6710069",60323
"50.07816698, 8.627341283",60528
"50.126226700000004, 8.6694441",60323
"50.11980257, 8.694998782999999",60316
"50.1075355, 8.7513729",63067
"50.1079453, 8.672427699999998",60329
"50.1085263, 8.690330099999999",60594
"50.09968655, 8.65326995",60327
"50.108357, 8.6900056",60594
"50.12648529999999, 8.671748599999999",60322
"50.1309143, 8.6908504",60318
"50.11198885, 8.672549932999999",60311
"50.10913557, 8.670803300000001",60329
"50.1061187, 8.665171",60329
"50.11508315, 8.684782533",60313
"50.1111006, 8.672627383",60311
"50.11346087, 8.627671033",60486
"50.14271372, 8.716119832999999",60389
"50.120918599999996, 8.6740171",60322
"50.10027718, 8.68533535",60594
"50.10282728, 8.690748217000001",60594
"50.1061246, 8.698357699999999",60594
"50.1199426, 8.648397682999999",60486
"50.09105382, 8.688550832999999",60598
"50.08707043, 8.648778633",60528
"50.1220477, 8.6805425",60318
"50.10794055, 8.668976767",60329
"50.10505283, 8.676941567",60596
"50.11780293, 8.631633082999999",60486
"50.11192687, 8.666474367000001",60325
"50.1103909, 8.6513688",60327
"50.10161547, 8.55851655",65934
"50.11323363, 8.6538623",60325
"50.11644382, 8.681953517",60313
"50.1087704, 8.6586923",60327
"50.12144933, 8.671073067",60322
"50.12562962, 8.707134067",60385
"50.1310167, 8.627661400000001",60488
"50.11333748, 8.680918199999999",60313
"50.099742600000006, 8.633929582999999",60326
"50.10761357, 8.665357432999999",60329
"50.111172700000004, 8.636946400000001",60486
"50.1079454, 8.6652987",60329
"50.15089757, 8.670010083",60433
"50.13172373, 8.668682667",60323
"50.1105885, 8.65392",60327
"50.13200608, 8.702817983",60389
"50.11451642, 8.686214083",60313
"50.11413708, 8.676689617000001",60313
"50.1631605, 8.6354861",60439
"50.1110902, 8.667229532999999",60329
"50.1125157, 8.6877736",60311
"50.12859747, 8.693130817",60389
"50.10556607, 8.717728300000001",60599
"50.12318338, 8.644176917000001",60487
"50.1077905, 8.6785246",60596
"50.10997802, 8.68774265",60311
"50.10987335, 8.700184067",60314
"50.10760835, 8.665204699999999",60329
"50.11326575, 8.6839496",60311
"50.11858245, 8.69640865",60316
"50.11432908, 8.719229432999999",60314
"50.10830028, 8.6645346",60329
"50.1445946, 8.682908117",60435
"50.10479137, 8.616833733",60326
"50.11242237, 8.66786835",60329
"51.485006, -3.1910962000000005",CF
"50.130191100000005, 8.621855300000002",60488
"50.15506217, 8.66389605",60433
"50.11469737, 8.682177283",60313
"50.1009011, 8.669164667",60596
"50.1293341, 8.668271800000001",60323
"50.06780143, 8.635544017",60528
"50.1042581, 8.6870456",60594
"50.108303899999996, 8.667891483",60329
"50.1082779, 8.6901124",60594
"50.10133870000001, 8.631174917000001",60326
"50.1015909, 8.542205099999999",65929
"50.11553295, 8.6427809",60486
"50.12467537, 8.705108532999999",60385
"50.128375, 8.6465484",60487
"50.11646688, 8.6796442",60313
"50.12262967, 8.675457817",60322
"49.983906899999994, 8.424157600000001",65428
"50.11014193, 8.651420717",60327
"50.13203165, 8.691608833",60318
"50.1053131, 8.6631336",60329
"50.1087775, 8.6590746",60329
"50.11416653, 8.720387882999999",60314
"50.12262163, 8.64979045",60487
"50.12862448, 8.693301332999999",60389
"50.11618588, 8.696861667",60316
"50.12905302, 8.665942917",60323
"50.12083012, 8.651122617",60325
"50.10822107, 8.65755685",60327
"50.10679352, 8.653820567",60327
